"id","name","articulation_id","axis_id","objective_id","will_be_delivered","total_cost","schedule_2013_2014","schedule_2015_2016","observation","technically","status","qualitative_progress_1","qualitative_progress_2","qualitative_progress_3","qualitative_progress_4","qualitative_progress_5","qualitative_progress_6"
29,"Viabilizar três Centros Culturais de Referência",3,1,4,"3 Centros Culturais de Referência em funcionamento (2 novas instalações e 1 instalação viabilizada)",33000000,,"3 Centros Culturais","Cada Centro Cultural deverá ser construído em módulos distintos e independentes, de maneira que sua utilização possa ser iniciada enquanto a construção ainda se realiza. A previsão é de atendimento de um público estimado de 85 mil pessoas/mês, através da realização de programação cultural específica e da oferta de outros programas já desenvolvidos pela Secretaria Municipal de Cultura, como o Programa Vocacional e o Programa de Iniciação Artística (PIÁ). A implantação dos equipamentos leva em conta a necessidade de ampliar a oferta de equipamentos em duas regiões que concentram grande número de atores e iniciativas culturais, a zona sul e a zona leste. A viabilização do Centro de Formação Cultural Cidade Tiradentes também foi incorporada à meta. Por viabilização entende-se a criação de condições técnicas, orçamentárias e institucionais para a implementação de cursos e atividades culturais previstos em seu projeto, permitindo o amplo aproveitamento do espaço e do potencial formativo ali existentes.","Centro Cultural: equipamento cultural que contará com área para produção cultural para utilização dos grupos e coletivos culturais da cidade, cinema, área expositiva, centro de memória, biblioteca, centro de estudo de idiomas, espaço para arte e cultural digital e teatro.",,,,,,,
30,"Criar o Programa Cultura Viva Municipal com a ativação de 300 Pontos de Cultura",3,1,4,"300 Pontos de Cultura em funcionamento",25850000,"72 Pontos de Cultura","228 Pontos de Cultura","Os Pontos de Cultura são ações que integram o Programa Cultura Viva, atualmente mantido pelo Ministério da Cultura. A SMC prevê criar o Programa Cultura Viva com a ativação de 300 diferentes Pontos de Cultura considerando que os contemplados irão desenvolver suas atividades por 2 anos, prorrogáveis por igual período. Articular as ações desenvolvidas pelos Pontos de Cultura com a rede de equipamentos culturais (públicos e não públicos), atores e iniciativas culturais do entorno. Serão priorizadas as regiões com baixa estrutura de equipamentos culturais públicos, alta densidade populacional, considerando os índices de vulnerabilidade social. As definições específicas de ações ou projetos contemplados por território ocorre mediante demandas apresentadas anualmente por meio de editais.","Pontos de Cultura: núcleos culturais juridicamente constituídos por ONGs que visam potencializar iniciativas culturais já existentes, ampliando e garantindo o acesso da população à fruição, criação e produção da diversidade cultural da cidade.",,,,,,,
31,"Adaptar e consolidar o Fundo Municipal de Cultura",7,1,4,"Fundo Municipal de Cultura em funcionamento",,,"1 Fundo Municipal de Cultura","O Fundo Municipal de Cultura será uma readequação do atual Fundo Especial de Promoção de Atividades Culturais - FEPAC, incorporando as resoluções e determinações do Conselho Municipal de Cultural e do Plano Municipal de Cultura. O Fundo tem a finalidade de financiar ações finalísticas da Secretaria Municipal de Cultura e sua adaptação serve para que ações-meio e políticas também estejam aptas a serem suportadas. Para o ingresso no Sistema Nacional de Cultura, também é preciso que o Fundo ganhe atribuições específicas, como a capacidade de receber transferências fundo a fundo (federal, estadual e municipal).","Fundo Municipal de Cultura: tem por objetivo fomentar projetos e ações culturais na cidade, a partir de diretrizes definidas pelo Conselho
Municipal de Cultura e consolidadas no Plano Municipal de Cultura. O Fundo deve permitir a transferência de recursos dos fundos de cultura estadual e federal, bem como a utilização dos recursos em diferentes ações: curadoria, desenvolvimento de projetos, programação cultural etc.",,,,,,,
32,"Conceder 300 Bolsas Cultura para agentes culturais da cidade",7,1,4,"300 Bolsas Cultura concedidas",6982917,"300 Bolsas Cultura","600 Bolsas Cultura","O objetivo do programa é democratizar a produção cultural a partir da remuneração de agentes que já praticam cultura numa visão ampliada. Público-Alvo: Agentes culturais que já desenvolvem práticas culturais numa acepção ampliada (isto é, não apenas ligadas às tradicionais linguagens artísticas, mas também a expressões culturais mais amplas), principalmente na periferia. Entende-se por práticas culturais periféricas não apenas aquelas realizadas em regiões geograficamente separadas das regiões mais ricas da cidade como também aquelas realizadas em condições sociais adversas e não contempladas pelo mercado.Está previsto para 2014 o lançamento do primeiro edital do programa. Serão concedidas nos anos de 2014, 2015 e 2016, 100 bolsas mensais no
valor de R$ 1.000,00 a agentes culturais distintos, pelo período de 12 meses, renováveis por igual período. O programa prioriza ações culturais realizadas nas regiões com baixa estrutura de equipamentos culturais públicos, alta densidade populacional, considerando os índices de vulnerabilidade social. As definições específicas de ações ou projetos contemplados por território ocorre mediante demandas apresentadas anualmente por meio de editais. O custo das renovações das bolsas concedidas em 2016 não foi considerado no Custo Total da Meta por ser pago no ano de 2017.","Bolsa Cultura: A seleção é feita por edital público e se dará em duas etapas; eliminatória seguida de sorteio. Forma de inscrição: individual. Modalidade de prestação de contas: relatório anual de atividades.",,,,,,,
33,"Atingir 160 projetos anuais de fomento às linguagens artísticas",7,1,4,"160 projetos fomentados",183733241,"90 projetos ao ano","160 projetos ao ano","Projetos artísticos e culturais focados na pesquisa continuada, com produtos resultantes como: espetáculos, intervenções artísticas, audiovisuais.O período de duração varia em função da ação proposta em cada projeto, não ultrapassando o prazo máximo de 2 anos. O objetivo é chegar no ano de 2016 com 160 projetos sendo financiados pelos programas de fomento, por isso as entregas previstas para o primeiro e o segundo biênio aqui apresentadas não são cumulativas.","Programa Municipal de Fomento ao Teatro: criado em 8 de janeiro de 2002 - Lei nº 13.279.
Programa Municipal de Fomento à Dança: criado em setembro de 2006 - Lei 14.071/05.",,,,,,,
34,"Atingir 500 projetos fomentados pelo Programa para a Valorização de Iniciativas Culturais - VAI, nas modalidades 1 e 2",3,1,4,"500 projetos fomentados",25392425,"500 projetos","500 projetos","O programa prioriza ações culturais realizadas nas regiões com baixa estrutura de equipamentos culturais públicos, alta densidade populacional, considerando os índices de vulnerabilidade social. As definições específicas de ações ou projetos contemplados por território ocorre mediante demandas apresentadas anualmente por meio de editais. Os pagamentos são realizados em duas parcelas, sendo 60% na primeira e 40% na segunda parcela. Para a modalidade I o valor destinado para cada projeto é de no máximo R$ 30.000,00 (trinta mil reais) e na modalidade II o valor destinado para cada projeto é de no máximo R$ 60.000,00 (sessenta mil reais) reajustados anualmente conforme o IPCA. É importante potencializar a articulação dos grupos fomentados pelo programa VAI com a rede de equipamentos culturais (públicos e não públicos), atores e iniciativas culturais do entorno. A meta é partir de 175 apoios concedidos em 2013 para 500 projetos apoiados nos anos de 2014, 2015 e 2016.","Programa VAI: tem por finalidade apoiar financeiramente, por meio de subsídio, atividades artístico-culturais de pessoas físicas de baixa renda,
com faixa etária de 18 a 29 anos, oriundas de regiões do Município desprovidas de recursos e equipamentos culturais.
Programa VAI 2: terá por finalidade apoiar financeiramente, por meio de subsídio, atividades artístico-culturais de grupos e coletivos mais
consolidados, cujo escopo das atividades não permite mais seu enquadramento dentro do VAI. Os editais são anuais e o período de realização dos projetos contemplados pelo VAI são de no máximo 12 meses.",,,,,,,
35,"Obter terrenos, projetar, licitar, licenciar, garantir a fonte de financiamento e produzir 55 mil Unidades Habitacionais",2,1,5,"55 mil Unidades prontas para o uso em Conjuntos Habitacionais de Interesse Social (HIS)",1072880200,"18.950 Unidades Habitacionais","36.050 Unidades Habitacionais","Engloba a desapropriação de terrenos, a construção de unidades e a entrega destas às famílias demandantes, tendo como algumas das diretrizes de priorização o recorte de gênero, idade (5% para idosos) e a presença de pessoas com deficiência na família. Além dessas diretrizes gerais, o planejamento prevê 2.000 unidades habitacionais para famílias em situação de rua, conforme explicado em meta específica sobre o tema. Para garantir a entrega de 55.000 Unidades Habitacionais no prazo do Programa de Metas, é necessário a elaboração e execução de projetos para além da meta estabelecida, de forma a se antecipar a eventuais imprevistos. Por esse motivo, a regionalização que aqui se apresenta é superior ao quantitativo da meta.","Unidades Habitacionais de Interesse Social: unidades habitacionais definidas pelo inciso XIII do Art. 146 da Lei nº 13.430/02 (PDE) construídas em terrenos desapropriados ou em áreas públicas desafetadas.",,,,,,,
36,"Beneficiar 70 mil familias no Programa de Urbanização de Favelas",6,1,5,"Assentamentos dotados de infraestrutura, tendo sido eliminadas todas as áreas de risco",552047438,"18.150 famílias beneficiadas","51.850 famílias beneficiadas","Engloba a implantação de infraestrutura urbana nos assentamentos precários, possibilitando o acesso dos moradores aos serviços urbanos, a consolidação geotécnica e/ou remoções em áreas de risco. A regionalização aqui descrita é parcial. Outras 20.000 famílias serão beneficiadas em locais ainda a definir.","Programa Urbanização de Favelas: Qualificação urbanística e o reconhecimento formal dos assentamentos precários e/ou informais, garantindo a melhoria da qualidade de vida da população moradora.",,,,,,,
37,"Beneficiar 200 mil famílias no Programa de Regularização Fundiária",6,1,5,"Títulos de posse ou de propriedade e emissão de autos de regularização",258807703,"116.073 famílias beneficiadas","83.927 famílias beneficiadas","O Programa engloba o diagnóstico fundiário, levantamentos topográficos, projetos de regularização fundiária, cadastramento e coleta de documentação. Para garantir a entrega de 200.000 Unidades Habitacionais no prazo do Programa de Metas, é necessário a elaboração e execução de projetos para além da meta estabelecida, de forma a se antecipar a eventuais imprevistos. Por esse motivo, a regionalização que aqui se apresenta é superior ao quantitativo da meta.","Regularização Fundiária: Reconhecimento formal dos assentamentos precários e/ou informais, garantindo a segurança na posse da população moradora.",,,,,,,
38,"Ampliar o efetivo da Guarda Civil Metropolitana em 2 mil novos integrantes",7,1,6,"Realização de concurso de ingresso e tomada de posse de 2.000 novos guardas civis municipais",24000000,"1.000 novos GCMs","1.000 novos GCMs","A ampliação do efetivo será acompanhada das diretrizes de formação em Direitos Humanos e mediação de conflitos.",,,,,,,,
39,"Capacitar 6.000 agentes da Guarda Civil Metropolitana em Direitos Humanos e 2.000 em Mediação de Conflitos",7,1,6,"6.000 GCMs capacitados em Direitos Humanos e  2.000 GCMs capacitados em Mediação de Conflitos",,"6.000 GCMs formados em Direitos Humanos, 2.000 GCMs formados em Mediação de Conflitos",,"A meta visa aprimorar a capacitação continuada dos Guardas Civis Metropolitanos, através do Centro de Formação em Segurança Urbana, mediante curso de reciclagem profissional com foco na formação em Direitos Humanos para o policiamento comunitário, inclusive para 2.000 novos GCMs para a capacitação em Mediação de Conflitos. Será constituído um grupo mobilizador estratégico para planejar sistematicamente todas as ações. Serão formados 250 agentes para que atuem como multiplicadores perante toda a GCM. A partir do trabalho do grupo mobilizador, dos educadores já formados e de organizações parceiras, toda a Guarda Municipal será capacitada através do Estágio de Qualificação Profissional. Espera-se com isso promover uma cultura de valorização profissional, a diminuição dos confrontos entre GCM e a população e a institucionalização da educação em Direitos Humanos no sistema de segurança urbana, para atuação em todo o território do município. Todos os cursos serão disponibilizados mediante parceria da Prefeitura junto às Secretarias Nacionais de Segurança Pública e Reforma do Judiciário, do Ministério da Justiça. Haverá também um Acordo de Cooperação junto à Escola Nacional de Mediação - ENAM. A meta será executada diretamente com recursos dos parceiros.","Mediação de Conflitos: é um processo autocompositivo segundo o qual as partes em disputa são auxiliadas por uma terceira parte, neutra ao conflito, sem interesse na causa,para auxiliá-las a chegar a uma composição. Este terceiro, imparcial, facilitará a negociação entre pessoas em conflito, habilitando-as a melhor compreender suas posições e a encontrar soluções que se compatibilizem aos seus interesse e necessidades.",,,,,,,
40,"Instalar 1 Casa da Mulher Brasileira em São Paulo",6,1,6,"1 Casa da Mulher Brasileira em funcionamento",,"1 Casa implantada",,"A Casa da Mulher Brasileira contará com Delegacia especializada de atendimento à Mulher; Juizado especializado de violência doméstica e familiar contra a Mulher; Promotoria pública especializada da Mulher; Defensoria pública especializada da Mulher; atendimento psicossocial; alojamento de passagem; brinquedoteca; orientação e direcionamento para programas de auxílio e promoção da autonomia, geração de trabalho, emprego e renda, bem como integração com os demais serviços da rede de saúde e socioassistencial. Todo o custo de implantação será de responsabilidade da Presidência da República.","Casa da Mulher Brasileira: Centro de Referência integrante do Programa Mulher, Viver sem Violência do governo federal, que reunirá serviços especializados de assistência à mulher em situação de violência.",,,,,,,
41,"Instalar 1 Casa Abrigo e 1 Casa de Passagem para ampliar a capacidade de atendimento de proteção às mulheres vítimas de violência",3,1,6,"1 Casa Abrigo e 1 Casa de Passagem",7986065,,"1 Casa Abrigo, 1 Casa de Passagem","A Casa Abrigo garante a integridade física e psicológica de mulheres e de seus dependentes, com atendimento multidisciplinar que favorece o resgate da autoestima e a reconstrução da autonomia da mulher. A permanência neste local é temporária, até que a mulher reúna condições para retomar ocurso de sua vida. A Casa de Passagem tem por objetivo garantir a integridade física e emocional das mulheres, bem como realizar diagnóstico da situação da mulher para encaminhamentos necessários. A Casa Abrigo tem capacidade para atender 5 famílias. Pretende-se com a construção de uma nova casa, aumentar o número de famílias atendidas nessa modalidade de serviço. Além da Casa Abrigo, a Casa de Passagem complementará o serviço.","Casa Abrigo: serviço de acolhimento institucional de caráter sigiloso para garantia da defesa e da proteção de mulheres em situação de violência doméstica e sexual, que estejam sob grave ameaça ou risco iminente de morte.
Casa de Passagem: serviço de acolhimento provisório de curta duração (até 15 dias), não sigiloso, para as mulheres em situação de violência doméstica e seus filhos e filhas, que não corram risco iminente de morte.",,,,,,,
42,"Reestruturar as Casas de Mediação existentes em 31 inspetorias regionais da Guarda Civil Metropolitana para promover a cultura de mediação e a solução pacífica de conflitos",7,1,6,"Reestruturação das 31 casas de mediação já existentes nas Inspetorias regionais da GCM",380886,,"31 Casas de Mediação","A proposta das Casas de Mediação contribui para que a Guarda Civil Metropolitana fortaleça sua vocação comunitária e sua relação com a sociedade. As experiências das 31 casas já em funcionamento apresentam bons resultados e sua reestruturação implica em: requalificação dos mediadores em atividades e formação dos novos mediadores pela Escola Nacional de Mediação do Ministério da Justiça (ENAM/MJ); aparelhamento das casas de mediação; implementação de um sistema de monitoramento e avaliação dos serviços prestados. A formação dos líderes comunitários e a campanha ampliarão o alcance e a efetividade da mediação nas comunidades, promovendo uma cultura de resolução extrajudicial de conflitos.","Mediação de Conflitos: é um processo autocompositivo segundo o qual as partes em disputa são auxiliadas por uma terceira parte, neutra ao conflito, sem interesse na causa, para auxiliá-las a chegar a uma composição. Este terceiro, imparcial, facilitará a negociação entre pessoas em conflito,habilitando-as a melhor compreender suas posições e a encontrar soluções que se compatibilizem aos seus interesses e necessidades.",,,,,,,
43,"Implementar as ações do Plano Juventude Viva como estratégia de prevenção à violência, ao racismo e à exclusão da juventude negra e de periferia",6,1,6,"Campanhas de mobilização da Rede Juventude Viva realizadas,  1 Portal em funcionamento na internet, Guia de Políticas Públicas da Juventude publicado,  2 unidades da Estação Juventude implantadas,  Mapa da Juventude publicado, Projetos locais de prevenção da violência nos territórios prioritários fomentados por edital,  Projetos especiais para fortalecimento e qualificação do sistema socioeducativo, Diretrizes e territórios prioritários para um conjunto de ações transversais indicadas.",33445244,"Campanhas de mobilização, 1 Portal em funcionamento na internet 2 Estações Juventude,- 1 Itinerante e 1 Complementar,  1 Guia de Políticas Públicas Mapa da Juventude Paulistana - Fase I Fomento a Projetos Especiais para fortalecimento e qualificação do sistema socioeducativo","Campanhas de mobilização,  Mapa da Juventude Paulistana - Fase 2 , Fomento a Projetos Locais via edital, Fomento a Projetos Especiais para fortalecimento e qualificação do sistema socioeducativo","Informações sobre as entregas prevista nesta meta:
%u2022 Campanhas de mobilização: as campanhas de mobilização serão realizadas por meio de eventos artísticos e esportivos, como shows, saraus, campeonatos de skate, além de campanhas publicitárias de televisão, internet e rádio contra a cultura de violência e pela prevenção da mortalidade da juventude negra e de periferia.
%u2022 Portal: criação de um Portal que tenha uma linguagem menos formal, mais plural e interativa, com a predominância de imagens, vídeos, textos
curtos e notícias. O Portal deverá fazer uma interface com o Observatório Participativo da Secretaria Nacional da Juventude.
%u2022 Guia de Políticas Públicas da Juventude: sistematiza as políticas públicas executadas no município que tem como público alvo os jovens, em nível
municipal, estadual e federal.
%u2022 Estação Juventude: a Estação Juventude é um programa do Governo Federal que tem como principal objetivo instaurar espaços públicos de atendimento à juventude visando facilitar o acesso a políticas públicas de jovens de 15 a 29 anos, além de criar redes para emancipação da juventude, em especial para jovens de territórios com dificuldades de garantia de acesso aos direitos.
%u2022 Mapa da Juventude: pesquisa quantitativa sobre o perfil e a situação da juventude paulistana e pesquisa qualitativa sobre as expectativas e os hábitos da juventude paulistana.
%u2022 Projetos Locais de prevenção da violência: a ação prevê selecionar, por meio de edital, projetos da sociedade civil que tenham como ações a prevenção da mortalidade da juventude negra e de periferia, combate ao racismo e desconstrução da cultura de violência.
%u2022 Diretrizes e territórios prioritários para um conjunto de ações transversais nos territórios prioritários: o Plano será prioritariamente implementado nos territórios da cidade com maior número de jovens negros, maiores índices de homicício contra a juventude, menor IDH, menor número de equipamentos públicos e pior situação no Sistema Intramunicipal de Direitos Humanos SIM-DH. Além das ações previstas nesta Meta, outras secretarias priorizarão os territórios onde o Plano será implantado no desenvolvimento de suas metas: Secretaria Municipal de Educação (Mais Educação); Secretaria Municipal de Desenvolvimento, Trabalho e Empreendedorismo (PRONATEC e VAI-TEC), Secretaria Municipal de Cultura (Pontos de Cultura e VAI), Secretaria Municipal de Serviços (Pontos de Iluminação Pública e Wi-Fi), Secretaria Municipal de Segurança Urbana (Capacitação da GCM); Secretaria Municipal de Saúde (Núcleos de Prevenção de Violência) e Secretaria Municipal de Coordenação de Subprefeituras (Requalificação do espaço público e melhoria de bairro). Além destes programas e ações previstas no Programa de Metas, outras também serão incluídas no Plano Juventude Viva, como o Pro Jovem e o Bolsa Trabalho. O cronograma de entrega, bem como os custos de implantação dessas ações transversais estão descritos em suas respectivas Fichas de Identidade da meta.","Plano Juventude Viva: é uma iniciativa da Secretaria Geral da Presidência da República e da Secretaria de Promoção da Igualdade Racial e reúne ações de onze Ministérios e campanhas de prevenção que visam reduzir a vulnerabilidade dos jovens à situações de violência física e simbólica, a partir da criação de oportunidades de inclusão social e autonomia; da oferta de equipamentos, serviços públicos e espaços de convivência em territórios que concentram altos índices de homicídio; e do aprimoramento da atuação do Estado por meio do enfrentamento ao racismo institucional e da sensibilização de agentes públicos para o problema. Em São Paulo a municipalização do Plano estará a cargo de treze secretarias e será monitorado pelo Comitê Gestor Juventude Viva criado por Decreto 54.511 de 25/10/2013.",,,,,,,
44,"Implementar 2 novos espaços de convivência e 8 novos serviço de proteção social a crianças e adolescentes vítimas de violência",6,1,6,"8 novos Serviços de Proteção Social a crianças e adolescentes vítimas de violência, abuso e exploração sexual e 2 novos Espaços de Convivência para crianças e adolescentes em situação de risco social e pessoal.",13000000,"8 Serviços de Proteçã,  2 Espaço de Convivência",,,"Serviço de Proteção à criança e adolescente vítima de violência: (SPVV) serviço referenciado que oferece um conjunto de procedimentos técnicos especializados por meio do atendimento social e psicossocial para atendimento às crianças e aos adolescentes vítimas de violência doméstica, abuso ou exploração sexual, bem como aos seus familiares, proporcionando-lhes condições para o fortalecimento da auto-estima, superação da situação de violação de direitos e reparação da violência vivida. Espaços de convivência para crianças e adolescentes: (ECCA) serviço que visa acolher crianças e adolescentes em situação de vulnerabilidade social, oferecendo um espaço alternativo de sociabilidade entre a rua e o território de origem da família.",,,,,,,
45,"Ampliar e modernizar 1 Centro Olímpico de Treinamento e Pesquisa e construir 1 Centro Olímpico de Iniciação e Formação",2,1,7,"1 Centro Olímpico de Treinamento e Pesquisa e 1 Centro Olímpico de Iniciação e Formação",435335000,,"2 Centros Olímpicos","Os terrenos que serão utilizados para a construção dos Centros são de administração da Secretaria Municipal de Esportes, Lazer e Recreação e atualmente são destinados para lazer e recreação.","Centro Olímpico de Treinamento e Pesquisa: Equipamento voltado ao esporte de alto rendimento, nos moldes de um clube, com foco em esportes olímpicos, tendo crianças e jovens participando das principais competições municipais, estaduais, nacionais e até internacionais, sem nenhum custo para atletas ou seus pais.
Centro Olímpico de Iniciação e Formação: Equipamento que permite o treinamento de modalidades olímpicas em suas categorias de base/formação com recurso humanos compatíveis e metodologia utilizada pelo Centro Olímpico de Treinamento e Pesquisa.",,,,,,,
46,"Criar 1 Parque de Esportes Radicais",5,1,7,"1 Parque de Esportes Radicais no Parque Dom Pedro",27000000,,"1 Parque de Esportes Radicais","O Parque de Esporte Radicais terá uma área de 30 mil m². A Secretaria Municipal de Direitos Humanos e Cidadania, por meio da Coordenadoria de Juventude, será parceira e articuladora do público-alvo para a execução da meta.","Parque de Esportes Radicais: Skate, BMX e Patins in line, nas modalidades Street, Park e Vertical, nos níveis de Lazer, Recreação e Alto Rendimento, além de um local para receber eventos relacionados.",,,,,,,
47,"Promover a prática de atividades esportivas, recreativas e de lazer por 24 horas aos finais de semanas nas 32 subprefeituras",3,1,7,"32 equipamentos funcionando com atividades no período de 24 horas nos finais de semana",30315964,"21 equipamentos contemplados","32 equipamentos contemplados","Atividades de esportes, lazer e recreação (Ex. futebol, vôlei, jogos, atividades lúdicas). A equipe de suporte contará com segurança, limpeza e monitores. A capacidade de atendimento vai variar de acordo com o tamanho do equipamento, beneficiando de 400 a 2.000 pessoas.","Revirando a Virada: abertura das unidade da Secretaria Municipal de Esportes (centro educacionais, balneários, mini balneário, estádios e parques) para 24h de esportes durante os finais de semana.",,,,,,,
48,"Requalificar 50 equipamentos esportivos",3,1,7,"50 equipamentos requalificados",61060000,"22 equipamentos requalificados","28 equipamentos requalificados","Por requalificação entende-se reforma básica e, quando possível, implantação de novos serviços e/ou equipamentos na área a ser qualificada. Há um grupo intersecretarial formado para identificar os CDCs que poderiam passar pela requalificação e para definir a integração desse Centros com equipamentos de outras áreas, como educação ou saúde, por exemplo.","Clube Desportivo da Comunidade (CDC): unidades esportivas em terrenos municipais, mas de administração indireta. A gestão do espaço é feita por entidades da comunidade local com reconhecida vocação para o trabalho esportivo, legalmente constituídos em forma de associação comunitária ou eleitos pela própria população do bairro. São menores que os equipamentos diretamente administrados pela prefeitura.
Clube Escola: tem o objetivo de oferecer ao munícipe em idade escolar a oportunidade de participar das atividades esportivas, recreativas e de
lazer, nos Clubes Esportivos Municipais.
Clubes Esportivos Municipais: estruturas públicas que oferecem diversas atividades para a saúde, bem-estar, lazer e recreação da população de todas as regiões de São Paulo.",,,,,,,
49,"Construir 5 Centros de Iniciação Esportiva (CIE)",3,1,7,"Construção de 5 Centros de Iniciação Esportiva (CIE)",15870000,,"5 Centros de Iniciação Esportiva","Os CIEs são dimensionados em três modelos que se adaptam ao tamanho do terreno. MODELO I: Prevê a construção de ginásio poliesportivo com arquibancada para 195 pessoas e área de apoio com administração, vestiários, chuveiros, enfermaria, copa, depósito e academia (2.500 m²). MODELO II: Prevê a construção de ginásio poliesportivo com arquibancada para 195 pessoas, área de apoio com administração, vestiários, chuveiros, enfermaria, copa, depósito e academia e arena poliesportiva externa (3.500 m²). MODELO III: Prevê a construção de ginásio poliesportivo com arquibancada para 195 pessoas, área de apoio com administração, vestiários, chuveiros, enfermaria, copa, depósito e academia e complexo de atletismo (7.000 m²).","CIE: O CIEs são instalações públicas multiesportivas para crianças e jovens inciarem a prática de modalidades olímpicas e paraolímpicas, localizado em áreas de vulnerabilidade social, voltados à iniciação esportiva e ao esporte de alto rendimento, estimulando a detecção de talentos e a formação de atletas.",,,,,,,
50,"Tornar acessíveis 850 mil m² de passeios públicos",2,1,8,"850 mil m2 de passeio público acessíveis pelos Programas Caminho Seguro e Rotas Turísticas",167070000,"420 mil m2 de passeios públicos acessíveis","430 mil m2 de passeios públicos acessíveis","Padronização e readequação de passeios públicos em vias estruturais, em rotas estratégicas e diante de prédios municipais, com adequações em acessibilidade e um conjunto de intervenções: implantação de rampas, colocação de piso tátil, e outras medidas, implementando novo conceito de passeio público, organizando a localização do mobiliário urbano, garantindo livre circulação de pedestre e pessoas com deficiência ou mobilidade reduzida. A execução do serviço seguirá os padrões estabelecidos pela Portaria Intersecretarial 04/SMSP/SMPED publicada em 06/2008 que estabelece diretrizes executivas para passeios públicos em concreto moldado ""in loco"".","Acessibilidade: Condição para utilização, com segurança e autonomia, total ou assistida, dos espaços mobiliários e equipamentos urbanos, das edificações, dos serviços de transportes e dispositivos, sistemas e meios de comunicação e informação, por pessoa com deficiência ou mobilidade reduzida.
Caminho Seguro: Percurso segregado da via destinado a circulação de pedestres de forma a permitir seu deslocamento com segurança e autonomia, inclusive para pessoas com deficiência e mobilidade reduzida.
Rotas Turísticas: Caminho seguro no entorno de pontos turísticos.",,,,,,,
51,"Garantir a acessibilidade para pessoas com mobilidade reduzida em 100% da frota de ônibus",6,1,8,"%u2022 Ônibus com plataforma elevatória ou veículo de piso baixo com acesso por rampa e dispositivo de sinalização sonora, tátil e visual.",,"80%","100%","Renovação da frota de ônibus realizada pela empresa contratada mediante as regras estabelecidas em contrato (pela gestora SPTrans). Todo veículo novo obrigatoriamente deve ser acessível.
* Meta viabilizada por meio do contrato de concessão do sistema municipal de transporte.","Frota Acessível: ônibus com acesso para as pessoas com mobilidade reduzida, em duas modalidades - veículos com piso baixo e rampa de acesso ou com plataforma elevatória (e.g. ""elevador"" para veículos com degraus de acesso) e com sinalização sonora, tátil e visual para acesso de pessoas com deficiência visual e auditiva.",,,,,,,
52,"Garantir a oferta de vagas a todas as crianças beneficiárias do Benefício de Prestação Continuada da Assistência Social (BPC) e seuacompanhamento nos moldes do BPC Escola",6,1,8,"Vagas garantidas e acompanhamento das crianças beneficiárias do BPC",,,,"Programa BPC na Escola tem quatro eixos principais: 1) identificar, entre os beneficiários do BPC até 18 anos, aqueles que estão na escola e aqueles que estão fora da escola; 2) identificar as principais barreiras para o acesso e a permanência na  escola das pessoas com deficiência beneficiárias do BPC; 3) desenvolver estudos e estratégias conjuntas para superação dessas barreiras; e 4) manter acompanhamento sistemático das ações e programas dos entes federados que aderirem ao programa. A meta é garantir vagas para crianças de 0 a 5 anos (dentro da governabilidade do município) e garantir o acompanhamento em todas as idades (0 a 18) pela ação intersetorial - Educação, Assistência Social, Saúde e Direitos Humanos. O Programa BPC na Escola é uma das ações previstas no Plano Nacional dos Direitos da Pessoas com Deficiência - Plano Viiver sem Limite, pactuado entre a Prefeitura de São Paulo e Governo Federal no dia 19 de Abril de 2013.","BPC: Benefício da Política de Assistência Social que garante o pagamento de 1 salário mínimo a todas as pessoas com deficiência (em qualquer idade).
BPC na Escola: tem como objetivo desenvolver ações intersetoriais, visando garantir o acesso e a permanência na escola de crianças e adolescentes com deficiência, de 0 a 18 anos, beneficiários do BPC.",,,,,,,
53,"Efetivar o funcionamento da Central de Libras",7,1,8,"Central de Libras em funcionamento.",24500000,"1 central",,"O atendimento deverá ser 24 horas e direcionado às pessoas surdas ou com deficiência auditiva e surdocegas, conforme estabelecido pela Lei 14.441/07. A Central atenderá toda a cidade e deverá proporcionar a comunicação dos munícipes surdos ou com deficiência auditiva e surdocegos nos serviços municipais a partir de modalidade presencial e virtual.","Tradução /Interpretação da Libras/Português: Serviço de mediação entre surdo ou com deficiência auditiva, usuário da Libras e o atendente do órgão público.
Guia-Interpretação: Fornecimento de Guia-Intérprete para atendimento presencial ao munícipe surdocego nos serviços municipais",,,,,,,
